"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"gene"
"GJD2"	3.21129781573215e-06	0.197691234935331	0.192	0.05	0.0629639162730604	"GJD2"
"RCAN1"	1.56720586238696e-05	0.397213379138456	0.808	0.628	0.307282053438211	"RCAN1"
"MTMR9"	0.000283345979921831	-0.289435703451718	0.231	0.517	1	"MTMR9"
"GOLGA8B"	0.000361190470778257	0.211324602952899	0.596	0.381	1	"GOLGA8B"
"C10orf67"	0.000444298226327322	0.231651739751859	0.596	0.377	1	"C10orf67"
"ST3GAL5"	0.000468548145255277	0.326548191560431	0.827	0.655	1	"ST3GAL5"
"SPTBN1"	0.000504392382467986	0.30636666586579	0.923	0.958	1	"SPTBN1"
"GOT1"	0.000548720602474079	0.284673022791737	0.712	0.515	1	"GOT1"
"OOEP"	0.000595843383154925	0.311270032812007	0.519	0.323	1	"OOEP"
"MAP4K4"	0.000604898764677327	-0.290259857864357	0.75	0.871	1	"MAP4K4"
"RECQL"	0.000623138901859552	-0.299868995857061	0.288	0.516	1	"RECQL"
"GOLT1B"	0.000629479301330796	-0.285594881022921	0.269	0.5	1	"GOLT1B"
"RP11-529K1.3"	0.000630773727914699	-0.319677848203336	0.327	0.552	1	"RP11-529K1.3"
"CREM"	0.000684926212286939	0.291353628296224	0.865	0.794	1	"CREM"
"ZYX"	0.000693564569387024	-0.297532309153727	0.308	0.561	1	"ZYX"
"MYOD1"	0.000725363397371351	0.134531707293234	0.212	0.084	1	"MYOD1"
"MAP1LC3B2"	0.000793700830202383	-0.350454888537435	0.481	0.703	1	"MAP1LC3B2"
"EPB42"	0.000908583484880806	-0.289890093025207	0.519	0.739	1	"EPB42"
"NDUFA5"	0.000952382754908187	-0.269937296356912	0.288	0.522	1	"NDUFA5"
"WIPF3"	0.000970732719977474	-0.272616206799241	0.346	0.575	1	"WIPF3"
"OR4D1"	0.00116692426291572	0.223168377714147	0.308	0.158	1	"OR4D1"
"EML6"	0.00122152569171698	0.262634364014393	0.923	0.868	1	"EML6"
"ZFYVE1"	0.00122886898597295	-0.322273880831063	0.365	0.574	1	"ZFYVE1"
"CCKAR"	0.00136673289374652	0.0728108202273629	0.115	0.033	1	"CCKAR"
"HK2"	0.00137338127587258	0.249004725858287	0.923	0.807	1	"HK2"
"ARHGEF1"	0.00138122164897121	0.294608340966129	0.654	0.491	1	"ARHGEF1"
"RLN3"	0.00139045484984666	0.195152292609989	0.135	0.044	1	"RLN3"
"NTAN1"	0.00145163206243059	-0.254339495281013	0.25	0.473	1	"NTAN1"
"DDX19A"	0.00146201594176438	-0.236162671477692	0.154	0.373	1	"DDX19A"
"HLA-DMB"	0.00146772901639167	0.25321290439231	0.404	0.24	1	"HLA-DMB"
"CYB561A3"	0.00148027211128933	-0.267198238304356	0.288	0.527	1	"CYB561A3"
"ZNF514"	0.0014958710424657	0.265927732764519	0.692	0.492	1	"ZNF514"
"RSAD1"	0.00161750747783274	-0.245126720317549	0.154	0.356	1	"RSAD1"
"ATP6V1E1"	0.00165616907956112	0.311508540894067	0.558	0.397	1	"ATP6V1E1"
"LURAP1L"	0.00168670458226055	0.21764577906916	0.519	0.329	1	"LURAP1L"
"PNPLA5"	0.00176156764459669	0.258749308741549	0.192	0.078	1	"PNPLA5"
"RAB17"	0.00176628155713996	0.190275167010534	0.442	0.264	1	"RAB17"
"SBDS"	0.00180371016800393	0.293894021389876	0.827	0.728	1	"SBDS"
"ACTN1"	0.00193300937999242	-0.309701338477722	0.558	0.76	1	"ACTN1"
"RTFDC1"	0.00198084243484954	-0.281069901684013	0.308	0.539	1	"RTFDC1"
"TATDN3"	0.00201205356783351	-0.258440947078873	0.25	0.462	1	"TATDN3"
"TSPOAP1"	0.00210372993315142	-0.308047402129696	0.423	0.647	1	"TSPOAP1"
"RP11-444E17.6"	0.00212782172819112	-0.252838418156243	0.462	0.642	1	"RP11-444E17.6"
"CCDC187"	0.00221465664168292	0.283170336659727	0.481	0.311	1	"CCDC187"
"HEATR3"	0.00222933719842741	-0.165881089542382	0.231	0.457	1	"HEATR3"
"GMFB"	0.00231901167719298	-0.226041225621723	0.192	0.425	1	"GMFB"
"RBM26"	0.00235690518177598	-0.287795379229655	0.615	0.807	1	"RBM26"
"PRKG2"	0.00237750178250336	0.240538213069889	0.788	0.613	1	"PRKG2"
"LRRC75B"	0.00238342923140481	0.205388739543845	0.269	0.133	1	"LRRC75B"
"POLD2"	0.00246971613004144	0.215281579713062	0.615	0.432	1	"POLD2"
"TIMP3"	0.00253731741536636	0.26269730110288	0.462	0.292	1	"TIMP3"
"PPP1R14B"	0.00255388298702434	0.181167683340338	0.481	0.291	1	"PPP1R14B"
"C1QC"	0.00265701233797414	0.125667730215588	0.135	0.047	1	"C1QC"
"LMBR1"	0.00271846964287669	-0.336776013885784	0.673	0.784	1	"LMBR1"
"MTR"	0.00274336084019066	-0.311347677089213	0.538	0.681	1	"MTR"
"KIAA0100"	0.00278143447720643	-0.171792361637783	0.192	0.421	1	"KIAA0100"
"KRTAP5-10"	0.00278407726537909	0.0980598917389085	0.135	0.046	1	"KRTAP5-10"
"ABCG5"	0.00299903535728899	0.117533140224126	0.308	0.156	1	"ABCG5"
"EGF"	0.00307198075237211	0.311143693933696	0.712	0.601	1	"EGF"
"C17orf80"	0.00312223501693549	-0.209269960465126	0.135	0.349	1	"C17orf80"
