"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"gene"
"CTSB"	0.0001325351986481	0.283590377734921	0.787	0.516	1	"CTSB"
"COQ9"	0.000136051707178969	0.191778046966514	0.493	0.239	1	"COQ9"
"CYFIP1"	0.000237872535466313	0.339216421234578	0.8	0.581	1	"CYFIP1"
"PIH1D1"	0.000275645045832081	0.286570429415925	0.733	0.555	1	"PIH1D1"
"ABHD4"	0.000320622865673376	0.199806930028402	0.373	0.168	1	"ABHD4"
"TNRC18"	0.000354007297812399	0.269236464529885	0.92	0.89	1	"TNRC18"
"UCP3"	0.000376458886817531	0.134566583353415	0.333	0.129	1	"UCP3"
"DDX21"	0.000380514374639795	-0.31310234718732	0.493	0.658	1	"DDX21"
"RP1-27O5.3"	0.000383741606753938	0.404384083477502	0.813	0.645	1	"RP1-27O5.3"
"SLC38A4"	0.000451935925231124	0.174553511477488	0.333	0.142	1	"SLC38A4"
"CLCN6"	0.000552361232149809	0.27013791498597	0.76	0.516	1	"CLCN6"
"FHL3"	0.000553566277388867	0.335629358061779	0.493	0.284	1	"FHL3"
"ZDHHC12"	0.000696705983625201	0.20493924613967	0.427	0.213	1	"ZDHHC12"
"TAF12"	0.000724399309436831	0.216058382543663	0.733	0.535	1	"TAF12"
"SLC37A4"	0.000816938876542186	0.155467907140968	0.56	0.303	1	"SLC37A4"
"RP11-216L13.16"	0.000985295888656098	-0.203886054914484	0.08	0.265	1	"RP11-216L13.16"
"C19orf84"	0.00107717187195811	0.0683389503341598	0.107	0.013	1	"C19orf84"
"SDC3"	0.00111928721269995	0.207649837685177	0.467	0.245	1	"SDC3"
"NELFCD"	0.00113491663356504	0.168090320419972	0.44	0.232	1	"NELFCD"
"ALLC"	0.00115073367668145	0.135565164202637	0.32	0.135	1	"ALLC"
"AKR1B10"	0.00123574379266425	0.11897454930066	0.147	0.032	1	"AKR1B10"
"EPHB3"	0.00124604678954635	0.260631127855864	0.693	0.497	1	"EPHB3"
"HN1"	0.00129605478340975	0.285152564704775	0.6	0.361	1	"HN1"
"ARL8B"	0.0013019315789146	0.267491029838153	0.787	0.594	1	"ARL8B"
"PIAS1"	0.00139627928899671	0.240582583656467	0.813	0.684	1	"PIAS1"
"FAM92B"	0.00139822564289536	-0.159893378234438	0.053	0.219	1	"FAM92B"
"INTS7"	0.001420641321787	0.254117500727009	0.893	0.723	1	"INTS7"
"MPP6"	0.00147337271600472	0.209670870448355	0.813	0.613	1	"MPP6"
"NMNAT2"	0.00147874628528257	-0.314624263675374	0.347	0.523	1	"NMNAT2"
"POMGNT2"	0.00148981558494619	-0.196195424206773	0.16	0.355	1	"POMGNT2"
"WBP11"	0.00174221874277016	-0.262171452379607	0.573	0.761	1	"WBP11"
"IRS2"	0.00174294588826379	0.229051227122213	0.733	0.561	1	"IRS2"
"SLC5A9"	0.00182146932594776	0.188809783767213	0.453	0.252	1	"SLC5A9"
"MATR3.1"	0.00184010241358195	-0.334009912922312	0.587	0.697	1	"MATR3.1"
"ANKRD11"	0.00194112374868337	-0.365977675898369	0.96	0.961	1	"ANKRD11"
"TTC17"	0.00200029132858884	0.299714440815026	0.787	0.69	1	"TTC17"
"CD84"	0.00201045362156054	0.400974880611042	0.693	0.548	1	"CD84"
"ELP3"	0.00207492731043413	0.232562029624329	0.813	0.639	1	"ELP3"
"FAM83B"	0.00208304201189664	0.213561005472176	0.453	0.265	1	"FAM83B"
"SYNJ1"	0.00209152219194819	0.273973567217008	0.76	0.561	1	"SYNJ1"
"PSMF1"	0.00217370946265932	0.253612557763727	0.733	0.548	1	"PSMF1"
"ZBTB8A"	0.00224630402252973	0.334878620773667	0.533	0.329	1	"ZBTB8A"
"CCDC149"	0.0022877646372455	0.226764092775465	0.773	0.587	1	"CCDC149"
"SLC16A14"	0.00232661718650286	-0.22361405352741	0.36	0.542	1	"SLC16A14"
"RNF130"	0.00234339857626479	0.231389380155997	0.933	0.845	1	"RNF130"
"PHF5A"	0.00234943988531126	0.243541333550356	0.52	0.348	1	"PHF5A"
"HIF1AN"	0.00238620765294057	-0.276135806565242	0.413	0.574	1	"HIF1AN"
"REST"	0.00246893036527261	-0.268754998798344	0.427	0.645	1	"REST"
"RASGRP4"	0.00251529635342704	0.150202466748557	0.373	0.2	1	"RASGRP4"
"RAD23B"	0.00275838631428641	0.259603265461293	0.773	0.69	1	"RAD23B"
"PLSCR4"	0.00285831577518581	0.353881132058551	0.52	0.348	1	"PLSCR4"
"TMCC2"	0.00288526721481478	0.212536648948828	0.84	0.69	1	"TMCC2"
